"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","5.55","280089691.05","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","117.44","75288663738.24","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","58.1","10086698238.4","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","108.99","272475000000","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","3.63","125505946.83","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","251.04","14039487563.04","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.2","84511782.4","n/a","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","113.4","4481400508.2","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","25.89","1634214469.95","n/a","2016","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atkr",
"AUXO","Auxilio, Inc.","5.69","53369224.13","n/a","2017","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/auxo",
"RILY","B. Riley Financial, Inc.","14.8","285743718.4","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily",
"RILYL","B. Riley Financial, Inc.","26.6101","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyl",
"BTN","Ballantyne Strong, Inc","6.3","89846788.5","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BFAM","Bright Horizons Family Solutions Inc.","70.86","4217004234.78","n/a","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","66.66","7884281493","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","5.3","66467008.5","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","15.14","4062869809.84","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","31.32","34203574583.28","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics plc","44.55","2031839696.7","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","63.97","716286547.22","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CBAK","CBAK Energy Technology, Inc.","1.75","34300820.75","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CBZ","CBIZ, Inc.","14.05","759115247.75","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"CDK","CDK Global, Inc.","64.38","9335573064.24","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cdk",
"CCRC","China Customer Relations Centers, Inc.","13.45","246533120","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ccrc",
"CREG","China Recycling Energy Corporation","1.58","13130112.84","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CMPR","Cimpress N.V","88.23","2743816508.19","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cmpr",
"CLCT","Collectors Universe, Inc.","26.89","239885636.22","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/clct",
"CNDT","Conduent Incorporated","16.38","3335460087.96","n/a","2016","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cndt",
"CSGP","CoStar Group, Inc.","206.64","6736401181.44","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/csgp",
"COTV","Cotiviti Holdings, Inc.","41.75","3793856943.75","n/a","2016","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cotv",
"CRAI","CRA International,Inc.","35.38","302257354.6","n/a","1998","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","50.09","21013108835.76","419507064","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"DHX","DHI Group, Inc.","4.5","226813954.5","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DBD","Diebold Nixdorf Incorporated","28.9","2180299434.3","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"APPS","Digital Turbine, Inc.","0.935","62302795.61","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/apps",
"DLB","Dolby Laboratories","52.05","5306012550.15","n/a","2005","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dlb",
"KODK","Eastman Kodak Company","11","466737326","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kodk",
"EBAY","eBay Inc.","33.9","36587745261.9","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","26.83","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebayl",
"ESIO","Electro Scientific Industries, Inc.","6.32","206477067.04","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esio",
"ENR","Energizer Holdings, Inc.","57.6","3560862873.6","n/a","2015","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","33.65","1461533506.2","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/env",
"ETSY","Etsy, Inc.","10.47","1215878157.93","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy",
"EXLS","ExlService Holdings, Inc.","45.71","1544821330.85","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls",
"FICO","Fair Isaac Corporation","128.5","3991080729","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"FIS","Fidelity National Information Services, Inc.","79.87","26259699333.7","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fis",
"FNJN","Finjan Holdings, Inc.","1.81","41881980.96","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fnjn",
"FDC","First Data Corporation","15","13765465290","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","146.27","13441106467.45","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/flt",
"FH","FORM Holdings Corp.","1.87","35901108.98","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fh",
"FCEL","FuelCell Energy, Inc.","1.6","67964104","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/fcel",
"GPN","Global Payments Inc.","77.93","11883700157.26","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"GPRO","GoPro, Inc.","8.55","1215057540.15","n/a","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro",
"GRVY","GRAVITY Co., Ltd.","19.8","32411847.6","1636962","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"GRUB","GrubHub Inc.","33.86","2909904494.84","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grub",
"HQY","HealthEquity, Inc.","43.14","2572366630.74","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hqy",
"HPJ","Highpower International Inc","4.7","71146156","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hpj",
"HMSY","HMS Holdings Corp","19.82","1656015980.68","n/a","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
