"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AVHI","A V Homes, Inc.","16.15","363543476.8","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","34.3","1805204266.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","33.61","1153634715.11","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"ABAX","ABAXIS, Inc.","47.39","1068170600","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"AXDX","Accelerate Diagnostics, Inc.","24.8","1286997215.2","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","27.94","92969092.7","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"ADNT","Adient plc","66.85","6263099221.4","n/a","2016","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adnt",
"WMS","Advanced Drainage Systems, Inc.","22.25","1226269300.75","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","66.71","2652238034.88","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","4.28","71233893.24","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","21.5","1603146339","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","27.96","655811502.12","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","2.37","20841960.12","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","60.95","4843866733.35","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","52.84","17030379820.2","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","3.2","24266128","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","74.16","853950916.8","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AA","Alcoa Corporation","33.73","6213781345.84","n/a","2016","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa",
"AMOT","Allied Motion Technologies, Inc.","21.92","205484897.12","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","35.26","5353718037.52","n/a","2012","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alsn",
"AIMC","Altra Industrial Motion Corp.","37.85","1109362606.8","n/a","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AXL","American Axle & Manufacturing Holdings, Inc.","16.96","1304433150.72","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/axl",
"AOBC","American Outdoor Brands Corporation","20.63","1180036000","n/a","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/aobc",
"ARII","American Railcar Industries, Inc.","43.71","834156307.38","n/a","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"AP","Ampco-Pittsburgh Corporation","14.5","177924004.5","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","69.77","21465740164.56","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aph",
"ALOG","Analogic Corporation","73.15","913584175.35","n/a","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"APOG","Apogee Enterprises, Inc.","57.87","1657761843.96","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"ARCW","ARC Group Worldwide, Inc.","4.25","80083821","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arcw",
"ARNC","Arconic Inc.","26.41","11637415778.13","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arnc",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","3.3891","14087648.2032","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw",
"ASTE","Astec Industries, Inc.","62.21","1433694708.29","n/a","1986","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/aste",
"ATRO","Astronics Corporation","31.58","918905966.02","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atro",
"ASTC","Astrotech Corporation","1.19","24487053.64","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ALV","Autoliv, Inc.","96.4","8514493464.4","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AVX","AVX Corporation","16.04","2691000163.6","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/avx",
"BEAV","B/E Aerospace, Inc.","64.73","6568045971.85","n/a","1990","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/beav",
"BW","Babcock","9.12","445340844.96","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/bw",
"BMI","Badger Meter, Inc.","36.25","1055325043.75","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bmi",
"B","Barnes Group, Inc.","51.05","2742442245.5","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/b",
"BZH","Beazer Homes USA, Inc.","11.9","399181073.2","n/a","1994","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/bzh",
"BELFA","Bel Fuse Inc.","20.9","251355187.6","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","22.75","273604331","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfb",
"BIO","Bio-Rad Laboratories, Inc.","202.56","5991804203.52","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/bio",
"BLBD","Blue Bird Corporation","17.7","407631495.6","n/a","2014","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/blbd",
"BXC","BlueLinx Holdings Inc.","8.7","78385260","n/a","2004","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/bxc",
