"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRM","Air Methods Corporation","43","1566478476","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","19.65","40140803.85","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","16.085","958465725.665","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","89.17","11030033579.79","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","155.15","2580885030.95","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","41.84","21093819970.48","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","25.05","641531026.05","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","8.35","280356343.5","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","53.85","1353067840.8","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","7.69","958354030.59","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/avh",
"BCO","Brink&#39;s Company (The)","54.65","2750163863.7","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","14.33","502922226.47","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","75.73","10737075508.65","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","73.39","55823418844.69","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","150.11","22007942030.78","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","3.46","422447430.18","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CGI","Celadon Group, Inc.","5.1","144326960.4","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CEA","China Eastern Airlines Corporation Ltd.","29.51","8538769050.63","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","36.42","7151115802.8","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","14.39","1456090528.13","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","114.93","4832741564.55","n/a","2005","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"CMRE","Costamare Inc.","6.23","569667655.13","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"CVTI","Covenant Transportation Group, Inc.","17.94","327446082.6","n/a","1994","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cvti",
"CYRX","CryoPort, Inc.","2.15","51447958.45","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/cyrx",
"CYRXW","CryoPort, Inc.","0.73","0","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/cyrxw",
"CSX","CSX Corporation","47.43","43941380877.99","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"DAC","Danaos Corporation","1.75","192148866","n/a","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","45.17","33008909718.46","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","4.5","425803063.5","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DCIX","Diana Containerships Inc.","0.7518","7037805.7932","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","5.92","501400420.64","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSXN","Diana Shipping inc.","24.999","0","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"LPG","Dorian LPG Ltd.","9.91","544726260.12","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/lpg",
"DRYS","DryShips Inc.","0.7004","106499725.4304","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"EGLE","Eagle Bulk Shipping Inc.","5.29","392009927.24","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"ECHO","Echo Global Logistics, Inc.","20.3","590244850.3","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"ERA","Era Group, Inc.","13.09","274020378.94","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/era",
"EURN","Euronav NV","7.8","1241829802.2","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/eurn",
"ESEA","Euroseas Ltd.","1.3484","14721423.9832","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EXPD","Expeditors International of Washington, Inc.","55.77","10077430810.59","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"FDX","FedEx Corporation","195.65","52311909750.1","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
"FWRD","Forward Air Corporation","47.18","1427671848.26","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/fwrd",
"FRO","Frontline Ltd.","6.69","1136024377.56","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/fro",
"GNK","Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ","14.4","495594792","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnk",
"GNRT","Gener8 Maritime, Inc.","5.58","462917882.52","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnrt",
"GWR","Genesee & Wyoming, Inc.","67.36","4184932245.44","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr",
"GSL","Global Ship Lease, Inc.","1.4","76962251.8","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl",
"GLBS","Globus Maritime Limited","3.43","94762921.82","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GOL","Gol Linhas Aereas Inteligentes S.A.","29.36","15380004349.6","n/a","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/gol",
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V.","44.85","268049478.45","5976577","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/omab",
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","100.9","5660490000","n/a","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/pac",
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","180.17","5405100000","n/a","n/a","Transportation","Aerospace","http://www.nasdaq.com/symbol/asr",
"GSH","Guangshen Railway Company Limited","31.44","4454128065.6","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gsh",
"HA","Hawaiian Holdings, Inc.","45.75","2453742186.75","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ha",
"HTLD","Heartland Express, Inc.","19.625","1635486191.5","n/a","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/htld",
"HUBG","Hub Group, Inc.","46.4","1584239747.2","n/a","1996","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/hubg",
"JBHT","J.B. Hunt Transport Services, Inc.","91.08","10138192491.24","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/jbht",
"JBLU","JetBlue Airways Corporation","21.11","7041609713.9","n/a","2002","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/jblu",
"KSU","Kansas City Southern","87.63","9308134838.1","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","28.7126","0","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu^",
"KNX","Knight Transportation, Inc.","30.65","2463343963.45","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/knx",
"LSTR","Landstar System, Inc.","85.6","3581488420.8","n/a","1993","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/lstr",
"LFL","LATAM Airlines Group S.A.","13.31","8071286393.83","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/lfl",
"MRTN","Marten Transport, Ltd.","22.9","748011668.5","n/a","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/mrtn",
"NVGS","Navigator Holdings Ltd.","13.9","770561609.3","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","1.65","248461933.5","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nna",
"NM","Navios Maritime Holdings Inc.","1.94","227227924.24","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nm",
"NMM","Navios Maritime Partners LP","2.15","186113358.95","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nmm",
"NAO","Nordic American Offshore Ltd","0.95","57652504.65","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nao",
"NSC","Norfolk Souther Corporation","115.9","36011741473.6","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/nsc",
"ODFL","Old Dominion Freight Line, Inc.","83.24","6864489484.64","n/a","1991","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/odfl",
"OSG","Overseas Shipholding Group, Inc.","3.5","247824153.5","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/osg",
"PTSI","P.A.M. Transportation Services, Inc.","15.01","96076053.03","n/a","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ptsi",
